text,sentiment,clean_text,predicted_sentiment,confidence
@kgthagreat yea tre hood claim thats atl theme song which it aint!! lol  but its a youtube vid. that i posted yesterday,1,yea tre hood claim thats atl theme song aint lol youtube vid posted yesterday,1,0.694371230023503
"@TheWordNinjas I tried to join Google Groups, I rec'd an invite by e-mail but it was a no go ",0,tried join google groups recd invite email go,0,0.6128025405328029
"@chicogarcia Chico, can you please send me the Youtube link where Adam cracks a joke about whether he's a Top or a Bottom. ",1,chico please send youtube link adam cracks joke whether hes top bottom,1,0.7880379390261998
@rww offers initial impressions of #googlewave http://ow.ly/cCnH --- still very much digging Wave ,1,offers initial impressions googlewave still much digging wave,1,0.7060865800036799
@MrGoogleAlerts Thanks a lot! And kudos for being so observant! You really caught me in a time of need ,1,thanks lot kudos observant really caught time need,1,0.6763473139941234
@suehuskins i googled but cant find it... we live on vermont in west asheville so i would love to find... i hate when i miss good stuff ,0,googled cant find live vermont west asheville would love find hate miss good stuff,0,0.9487685609653287
Cop my album find me or email me at pingquach@gmail.com five dollars  yay. Grad party tonight. fsho,1,cop album find email pingquachcom five dollars yay grad party tonight fsho,1,0.7785831855807555
@Jonasbrothers hey ... why is your youtube account locked??? i can't watch any of your videos   ,0,hey youtube account locked cant watch videos,0,0.6938384652571341
Hey!! i am at the air place thing... yeah it's  is really cool but i am not gonna be on youtube or anything in till 6 aguast ,0,hey air place thing yeah really cool gonna youtube anything till aguast,1,0.6870514232223786
Spread the music!  http://www.youtube.com/xtinemercado,1,spread music,1,0.8730867821518782
please check out the videos on my youtube channel!!  http://www.youtube.com/user/TsarNick77,1,please check videos youtube channel,1,0.8529271457316515
@CseaLalala and @PinkGuitarChick ............... you guys are crazy. And Blair'sNeighbourTV ep is up on youtube! ,1,guys crazy blairsneighbourtv ep youtube,1,0.6498943766173856
is now the 46th most viewed channel today - this is seriously cool! Check it out  http://www.youtube.com/user/lolafandango24,1,th viewed channel today seriously cool check,1,0.8404002501403911
type in google &quot;seo tips&quot; to see who's now Number 2 out of over 20 million others  U to can leverage facebook in Google!,1,type google quotseo tipsquot see whos number million others u leverage facebook google,1,0.8215573862882688
i trying contact with u via youtube but u dont read my message  nick (hovadoposrate),0,trying contact u via youtube u dont read message nick hovadoposrate,0,0.5133394040246495
Should not have googled how hot her chi flat iron gets  370 degrees,0,googled hot chi flat iron gets degrees,0,0.7400995173648459
@androidtomato @HAMMER32 I hadn't heard them before ,0,hadnt heard,1,0.5604548264072847
#google #maps #android #latitude http://bit.ly/hUaL7  now with video ,1,google maps android latitude video,1,0.8270401512740229
Suddenly the proprietary database on google app engine doesn't sound that unattractive  #partially-in-jest,1,suddenly proprietary database google app engine doesnt sound unattractive partiallyinjest,0,0.6699962465053648
"this is MAYHEM. Facebook won't let me share my feelings,lmao  i need to upload my youtube vidzzz.",0,mayhem facebook wont let share feelingslmao need upload youtube vidzzz,0,0.854164224713838
@ishinee WANNA SEE ? I GOT GMAIL ,1,wanna see got gmail,0,0.5356180116324598
wondering if Google Wave http://wave.google.com/ and Adobe Wave http://bit.ly/mfwIg conflicts as product name ,1,wondering google wave adobe wave conflicts product name,1,0.8142658554681029
@XCoolerThenYouX haha i have a youtube but i think you're probably thinking of jordan1617 ,1,haha youtube think youre probably thinking jordan,1,0.825614633022898
"@djcamilo classics are timeless...dont believe me, check youtube, google, etc. Numbers dont lie &amp; i actually performed it last night, ",1,classics timelessdont believe check youtube google etc numbers dont lie amp actually performed last night,1,0.7836184243302644
watching studio dc almost live on youtube.the 1 tht selena hosted ,1,watching studio dc almost live youtubethe tht selena hosted,1,0.7610514627046442
"@yvettegr search &quot;drunk history ben franklin&quot; on youtube. Were I not working/mobile, I'd find the link myself. Jack Black is narrator. ",1,search quotdrunk history ben franklinquot youtube workingmobile id find link jack black narrator,1,0.6230160624196484
"@socialmilestone bummer, if google would only give me some free programs to sell, drat on my finacial planss  ",1,bummer google would give free programs sell drat finacial planss,0,0.5050019469176895
Off to college for the stupidest exam ever! Can't wait to (hopefully) watch the #Lost season finale on youtube when i get back ,1,college stupidest exam ever cant wait hopefully watch lost season finale youtube get back,0,0.5841728935203484
Check out my youtube channel!  http://www.youtube.com/theultimatedemiifan,1,check youtube channel,1,0.8580127941624308
Check this out really cool stuff..  Google Profile Custom URL and GFC On YouTube  ,1,check really cool stuff google profile custom url gfc youtube,1,0.8943067946317064
"I'd have a million subscribers and making 17cents off youtube instead of being unemployed, submitting 50 applications a day, and hungry! ",0,id million subscribers making cents youtube instead unemployed submitting applications day hungry,0,0.625007583955258
@netizensmedia Someone search for &quot;google&quot; at google.com ,1,someone search quotgooglequot googlecom,1,0.6020108742036585
Youtube coming Soon!!! &quot;Memoirs of a Silent Voice.&quot; A video journal of my struggles of the past ,0,youtube coming soon quotmemoirs silent voicequot video journal struggles past,1,0.6340336492956276
@AshleyLTMSYF baby gaaal! i watched the hsow on youtube coz u neva gonna be here performin in Italy  so i follow u on the web alwaysXDily,0,baby gaaal watched hsow youtube coz u neva gonna performin italy follow u web alwaysxdily,1,0.5831241584363854
@coollike Saw you on @bobbylew's Carpool so finally got round to checking out your stuff on YouTube and really liked it ,1,saw carpool finally got round checking stuff youtube really liked,1,0.8660551536825021
sigh! no evernote app for android yet ,0,sigh evernote app android yet,0,0.7608453647965114
#gimmefailwhale hey can I have them i'm a youtube vid making addict too ,1,gimmefailwhale hey im youtube vid making addict,1,0.8091425280217596
@meganandliz hey! I love ur songs! thy r amazing  I subscribed to u on youtube &amp; I have u as friends on myspace  you guys are AWESOME!!,1,hey love ur songs thy r amazing subscribed u youtube amp u friends myspace guys awesome,1,0.9674539282456617
Google 'ksurl' calling home from my mac every day  Here's the remedy. http://tr.im/lAeQ (caught thank to LittleSnitch),0,google ksurl calling home mac every day heres remedy caught thank littlesnitch,1,0.8708198372820208
watching videos on youtube about 2 certain ppl who i'm not naming and it's making me cry ,0,watching videos youtube certain ppl im naming making cry,0,0.5493131268225268
oops youtube is down!!!    http://tr.im/pvUx,0,oops youtube,1,0.7569348297736078
@mangoesrepent I wish it was on youtube! ,0,wish youtube,0,0.9430837860718883
@Jaime_Rivera I can't navigate without spoken instructions; I do have Google Maps for searching tho ,1,cant navigate without spoken instructions google maps searching tho,0,0.6786220483866491
"@scaryadams first blip , then twitter, whats next google or facebook ",1,first blip twitter whats next google facebook,1,0.8286613032752453
http://wave.google.com/ can't believe that we were trying this 4 years ago! We failed but google hasn't ,1,cant believe trying years ago failed google hasnt,0,0.9375118890494429
@anie_O Saw them on TV and I follow them on YouTube. Been a fan since they uploaded the Thriller vid. ,1,saw tv follow youtube fan since uploaded thriller vid,1,0.7792284862446032
"yeha, just watched the full livechat again on youtube x3 Have you noticed how many times Nick said we are the best fans in teh world??? ",1,yeha watched full livechat youtube x noticed many times nick said best fans teh world,1,0.7161910855238042
"@LindaJosey working out the details...but the goal is to get the internet Twitter, FB, MS, YouTube...to be buzzing with happy info ",1,working detailsbut goal get internet twitter fb ms youtubeto buzzing happy info,1,0.7389011465963187
@zacxor schick mir mal pls ne email an pr0f4ne19@googlemail ty ,1,schick mir mal pls ne email prfne ty,1,0.7798176394369936
@drdebs First headline on  my google feed. Just terrible ,0,first headline google feed terrible,0,0.546572191818582
"@adam_d hername.com. Then set up Google Apps and catch-all, and redirected it to her Facebook page. ",1,hernamecom set google apps catchall redirected facebook page,1,0.7067433210780164
Check out my YouTube Channel I know all my Youtube family misses me. check it out www.youtube.com/princeyoungtv Comment and Subscribe ,1,check youtube channel know youtube family misses check comment subscribe,1,0.7819433661619725
@endoplasmic Saw the new Google Street View last night while adding links to our vaca pix. Was wondering when it came - very nice indeed! ,1,saw new google street view last night adding links vaca pix wondering came nice indeed,1,0.6792045559373476
"@jp_murphy We both one a HTC Magic each, which is the new Android phone that Vodafone are carrying   We're both quite chuffed ",1,one htc magic new android phone vodafone carrying quite chuffed,1,0.686558469453275
@KrazyKid I'm fine babe. You? @FreshLikeFebrez Ugh. You suck. @YoBoiPat I'm well. You? @AfricanoBOi YouTube is wack. @siirensiiren   ,0,im fine babe ugh suck im well youtube wack,0,0.776779664403165
Why can't I find Keanthony's &quot;I Ain't Tryna&quot; anywhere?? YouTube starting to let me down ,0,cant find keanthonys quoti aint trynaquot anywhere youtube starting let,0,0.8971529926484969
@edbretten aaarrrggghhh! We are denied access to YouTube at my work! Will have to wait until I get home this evening   brill song though,0,aaarrrggghhh denied access youtube work wait get home evening brill song though,0,0.6495066386751914
Going to wash my brushes while some videos upload to youtube ,1,going wash brushes videos upload youtube,1,0.660365564002656
"theres spoilers EVERYWHERE! team jonas, twitter, facebook, myspace, youtube! GOD, theres a thing called suprised...and temptation ",0,theres spoilers everywhere team jonas twitter facebook myspace youtube god theres thing called suprisedand temptation,1,0.5688752892274038
"@PS3Attitude, writing, how about some random number generating!  almost 21 bst, once i google that. i shall know!",1,writing random number generating almost bst google shall know,1,0.8711031476768791
thinking about the essay. yayayya thanks google ,1,thinking essay yayayya thanks google,1,0.8839732340266605
you have to watch diddy's lock in video: a lots of good energy  lock in! lock in!http://www.youtube.com/watch?v=81UZgJAkRik,1,watch diddys lock video lots good energy lock lock,1,0.8014913100051971
@JeffWoelker I have another Google Twitter account that you hadn't mentioned: @googledata ,1,another google twitter account hadnt mentioned,1,0.7316298793452578
@JayashreeR BTW what n how is the internal reaction to Google's Wave? I m sure folks knew abt it a little earlier than us! ,1,btw n internal reaction googles wave sure folks knew abt little earlier us,1,0.8421595203467799
Google promises even faster JavaScript handling in Chrome 2.0. How is that even possible?  http://tinyurl.com/og4zn3,1,google promises even faster javascript handling chrome even possible,1,0.6949444185036431
@drinkmoxie thank you for the gmail question answer last night ,1,thank gmail question answer last night,1,0.8561816146469969
"just got into bed. goood shit tonight. btw, search up &quot;puke play&quot; on youtube and have fun! ",1,got bed goood shit tonight btw search quotpuke playquot youtube fun,1,0.8178195450754333
"I'm taking voice lessons via Youtube   Go cheap, people.  Go cheap.",1,im taking voice lessons via youtube go cheap people go cheap,1,0.7513569930935824
"@AnnetteStatus There's no pics of Miley or JB on youtube, well, that i've seen ?  ...",0,theres pics miley jb youtube well ive seen,1,0.5066878918550625
still dont understand why the @JonasBrothers youtube account was removes  not soo happy about it GTG watch some T.V so TTYL byee for now!!,0,still dont understand youtube account removes soo happy gtg watch tv ttyl byee,0,0.5557892693111419
@DMB_ haha i didn't know what the gorge was so i had to google it-i must admit that it does look pretty insane! too bad its in washington ,0,haha didnt know gorge google iti must admit look pretty insane bad washington,1,0.6043030619062106
"life's short, use hotkeys, shortcuts, mouse gestures, launchy and google ",1,lifes short use hotkeys shortcuts mouse gestures launchy google,1,0.737716851495478
"@bobtheostrich Yes, I know, Velvet Whip's fine, but just Google for Zarabeth and you'll find almost all my online history. I'm Zarabeth! ",0,yes know velvet whips fine google zarabeth youll find almost online history im zarabeth,1,0.7222376714089436
"wooo! i installed that usb port thingo into my motherboard and it workedd, so proud of myself. youtube famous here i come ",1,wooo installed usb port thingo motherboard workedd proud youtube famous come,1,0.8368019590391816
"iPhone OS 3.0 is still limited to one Exchange account, so no Google Sync Exchange for me. ",0,iphone os still limited one exchange account google sync exchange,0,0.7579097388538842
@andypiper See @nph Bing iPhone workaround http://tr.im/ibing via Google cache ,1,see bing iphone workaround via google cache,1,0.6811842900398816
@tommcfly dont you think it would be cool to work at google?!  x,1,dont think would cool work google x,1,0.5981862454954976
"@mauveguimauve HAHA&lt;3 i just watched that clip on youtube  i wanted to put that on my page but they disabled the embedding, ",0,hahalt watched clip youtube wanted put page disabled embedding,0,0.7591163082343262
@vprincess hahaha my family do the same thing ahhaa check out videos http://youtube.com/melycami ,1,hahaha family thing ahhaa check videos,1,0.9158920324127241
Watching dc3 clips on youtube....ugh miss em ,0,watching dc clips youtubeugh miss em,0,0.7000009471857543
@charlieskies  that is actually a better name than fluffballthegodzilla (my youtube username).  ive been beaten ,0,actually better name fluffballthegodzilla youtube username ive beaten,1,0.7833866284712357
"@frostbytez hey man, not yet  waiting for some disposable income. probably going for HTC Magic, android looks sweet",0,hey man yet waiting disposable income probably going htc magic android looks sweet,1,0.7431307406703462
http://www.youtube.com/brittandjolien  subscribe pleaseee &lt;3 another video coming up ,1,subscribe pleaseee lt another video coming,1,0.6715381364809788
231 views for youtube playlist 2&lt;3   XD http://bit.ly/1a4Iys,1,views youtube playlist lt xd,1,0.8929947944464154
MUST STOP WATCHING @NKOTB VIDEOS ON YOUTUBE. Just depressing myself that I wont be at the show tomorrow night when I was supposed to be. ,0,must stop watching videos youtube depressing wont show tomorrow night supposed,0,0.7029307619653392
OMG - youtube actuually has the clip of Tommy cooper's last live act  -thats just wrong. Wish i hadnt even clicked on it... ,0,omg youtube actuually clip tommy coopers last live act thats wrong wish hadnt even clicked,0,0.9014473224181809
"I can't get on Google for some reason, page isn't loading for me  Need ma' Gmail!",0,cant get google reason page isnt loading need gmail,0,0.9326563593577715
@AndrewDearling :o And I missed it? And I'll miss the rpt 2mrw  Oh well there's youtube sunday I guess. Thanks Andrew ,0,missed ill miss rpt mrw oh well theres youtube sunday guess thanks andrew,0,0.8833016367003202
was trying to watch heidi montag/pratts video on youtube but it wont let me watch it on my phone  stinkin utube,0,trying watch heidi montagpratts video youtube wont let watch phone stinkin utube,0,0.8430581242046643
"@MischievousMel Please send me those youtube links, Erin watched most of them but I was cooking and didn't get to see the cowboys ",0,please send youtube links erin watched cooking didnt get see cowboys,0,0.6254881191772057
"@eoinlally Google Wave is a Wikipedia, Myspace, Gmail, Google News, Google Desktop, Twitter AND FACEBOOK!!! lol So I've been told ",1,google wave wikipedia myspace gmail google news google desktop twitter facebook lol ive told,1,0.7494023550405492
"Photo: oh google maps, you always know what day it is  http://tumblr.com/xig1r02sh",1,photo oh google maps always know day,1,0.7710631165494787
"trying to build this android thingy.  takes too much time, i guess, should take a nap in between",0,trying build android thingy takes much time guess take nap,0,0.6628677408158494
"@ideologyNZ thanks! and yeah - She's doing some Google Analytics work for us, contracting from up the far north ",1,thanks yeah shes google analytics work us contracting far north,1,0.7130009853477043
"Awesome : currently at position 2 out of 32,700,000 in Google's SERPs for the term Website Engineer  Get in...http://cli.gs/rmDXSd",1,awesome currently position googles serps term website engineer get,1,0.8483670816131029
@caaakes Tell X to email me pics! OfficialShew@gmail ,1,tell x email pics officialshew,1,0.7531476086714651
@cjdarlington I've been using google earth for novel #2. so I can figure out where's the best place to die in the woods on the CO trail. ,1,ive using google earth novel figure wheres best place die woods co trail,1,0.7031015406846776
Let me google that for you http://lmgtfy.com/ ,1,let google,1,0.7255762972064149
Songs I should cover in future youtube videos until I get my new recording software...GO!  ,1,songs cover future youtube videos get new recording softwarego,1,0.9046548163749442
"in other #pre news, i'm reminded I need to clean out my dang gmail addressbook; ye gads. I don't really need this many ppl ",1,pre news im reminded need clean dang gmail addressbook ye gads dont really need many ppl,0,0.8795582328812613
"Oh god! It was just pointed out that the googlesearchbot is gone, too.  #boticide09",0,oh god pointed googlesearchbot gone boticide,0,0.8542011646898588
Add me as a friend or sbscribe if you have YouTube ,1,add friend sbscribe youtube,1,0.8111383138027208
"@xDorkyStacy Ha! THAT SOUNDS SO WRONG STACY! lmao  i love you. and when I take one, I'll think of you too. haha, and on youtube. ",1,ha sounds wrong stacy lmao love take one ill think haha youtube,1,0.8990054428802866
Peru se s nastavenï¿½m Thunderbird pro Gmail. Zatï¿½m bezï¿½sp?ï¿½n? ... ,0,peru se nastavenï¿½m thunderbird pro gmail zatï¿½m bezï¿½spï¿½n,1,0.5050799781004132
@Philbradley For Bing on iPhone try http://tr.im/ibing workaround courtesy @nph and Google cache (FWIW: saw your post on Bing earlier ,0,bing iphone try workaround courtesy google cache fwiw saw post bing earlier,1,0.6711063257611618
"everyone, go to youtube, and search gem sweater. it'll be the first one. you will thank me. ",1,everyone go youtube search gem sweater itll first one thank,1,0.8748599742038655
http://tr.im/nDdQ whats wrong with it???.. chrome has google as its default search  engine ,1,whats wrong chrome google default search engine,0,0.635777528266394
@ratulaich www.showmedo.com and Painless Python on YouTube is what I got as suggestions ,1,painless python youtube got suggestions,1,0.7034740931078113
@merlebowers He's the star of House. Plus a huge British actor. He's done lots and lots. Too much to list. Try googling his filmography ,1,hes star house plus huge british actor hes done lots lots much list try googling filmography,1,0.703594357922738
@Shorty5555 on YouTube it's so funny ,1,youtube funny,1,0.8871291812339724
I am totally digging the new android update for the g1  it is about time I get it! All 2 months later n shit....,1,totally digging new android update g time get months later n shit,1,0.7116652637504353
"Googled myself &amp; found an entry that when I was in 2nd grade, I told someone that you can eat Mac &amp; Cheese crayon and they took a bite. ",1,googled amp found entry nd grade told someone eat mac amp cheese crayon took bite,1,0.5410586320113956
Check this video out -- E3 2009: Assassin's Creed 2 Trailer http://bit.ly/16fVJV  - More links from YouTube! ,1,check video e assassins creed trailer links youtube,1,0.7695381844109739
@mtnmissy Your own domain better in terms of google page rank and feeling of independence ,1,domain better terms google page rank feeling independence,1,0.5889666931759749
